City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Longyearbyen,SJ,2021-05-29 22:13:37,78.2186,15.6401,33.64,69,75,6.91
256,Makakilo City,US,2021-05-29 22:11:04,21.3469,-158.0858,82.15,57,1,12.66
257,Sorland,NO,2021-05-29 22:13:37,67.667,12.6934,44.02,76,100,7.81
258,Huarmey,PE,2021-05-29 22:13:38,-10.0681,-78.1522,67.23,84,55,7.81
259,Sao Filipe,CV,2021-05-29 22:13:38,14.8961,-24.4956,74.53,75,8,15.19
260,Kavieng,PG,2021-05-29 22:13:38,-2.5744,150.7967,82.74,80,89,16.69
261,Laguna,US,2021-05-29 22:13:39,38.421,-121.4238,92.1,37,1,5.01
262,Marshfield,US,2021-05-29 22:13:39,44.6689,-90.1718,67.73,31,1,4.61
263,Port Hardy,CA,2021-05-29 22:13:40,50.6996,-127.4199,56.41,62,99,3.96
264,Krasnoborsk,RU,2021-05-29 22:13:40,61.5598,45.934,34.99,77,17,6.06
265,Cochrane,CA,2021-05-29 22:13:40,51.1834,-114.4687,66.85,28,21,9.51
266,Nuuk,GL,2021-05-29 22:13:41,64.1835,-51.7216,41.61,81,1,16.11
267,San Quintin,MX,2021-05-29 22:13:41,30.4833,-115.95,64.69,66,2,22.64
268,Batagay,RU,2021-05-29 22:13:41,67.6333,134.6333,52.41,47,71,5.26
269,Nevelsk,RU,2021-05-29 22:13:42,46.6733,141.8633,39.63,91,100,8.25
270,Bubaque,GW,2021-05-29 22:13:42,11.2833,-15.8333,79.03,68,6,18.59
271,Port-Cartier,CA,2021-05-29 22:13:42,50.0334,-66.8654,48.74,49,10,7.38
272,Kentau,KZ,2021-05-29 22:13:43,43.5206,68.5094,77.09,27,82,6.44
273,Adrar,MR,2021-05-29 22:13:43,20.5022,-10.0711,94.69,11,88,10.74
274,Akdepe,TM,2021-05-29 22:13:43,42.0551,59.3788,82.4,19,1,13.51
275,Kolvereid,NO,2021-05-29 22:13:43,64.8655,11.6047,44.85,86,16,4.83
276,Arvika,SE,2021-05-29 22:13:44,59.6553,12.5852,57.9,66,90,2.46
277,Paris,FR,2021-05-29 22:09:03,48.8534,2.3488,64.9,55,0,7.36
278,San Andres,CO,2021-05-29 22:13:44,12.5847,-81.7006,86.02,70,20,12.66
279,Naryan-Mar,RU,2021-05-29 22:13:45,67.6713,53.087,31.84,82,89,12.75
280,Neuquen,AR,2021-05-29 22:13:45,-38.9516,-68.0591,50.2,48,93,17.49
281,Bantry,IE,2021-05-29 22:13:45,51.6833,-9.45,51.28,91,9,1.59
282,Margate,GB,2021-05-29 22:13:46,51.3813,1.3862,52.75,80,1,3.0
283,Bereznik,RU,2021-05-29 22:13:46,62.8551,42.7072,34.14,81,8,7.43
284,Iberia,US,2021-05-29 22:10:59,29.9502,-91.7507,77.0,78,1,4.9
285,Bozoum,CF,2021-05-29 22:13:47,6.3193,16.3799,72.19,87,69,4.76
286,Bollnas,SE,2021-05-29 22:13:47,61.3482,16.3946,41.4,68,5,3.27
287,Solnechnyy,RU,2021-05-29 22:13:47,50.7214,136.6319,48.29,78,100,2.1
288,Codrington,AU,2021-05-29 22:13:48,-38.2667,141.9667,39.65,95,7,7.0
289,Marienburg,PL,2021-05-29 22:10:35,54.0359,19.0266,48.87,94,5,7.07
290,Bayan,CN,2021-05-29 22:13:48,46.0833,127.4,58.39,62,24,6.15
291,Ketchikan,US,2021-05-29 22:13:48,55.3422,-131.6461,55.38,60,100,6.33
